day_of_week,hour,traffic_index,distance_km,demand,travel_time_min
1,9.834347898661639,2.579691000272769,4.299423063814066,9,26.465682832605864
1,16.66176145774935,2.401115011743209,6.218303726628978,12,28.81138523681886
1,14.116531604882809,1.002826522087887,11.196802349450875,15,21.601314890003913
1,17.73755518841459,2.0327713404303043,10.796625799144742,16,42.35818999181757
1,16.599404067363206,2.4803075385877795,23.670640380751614,13,117.36125842043758
1,16.083973481164612,1.1218455076693483,12.12350735601083,16,25.93028504852482
1,14.099966577826208,1.3332779646944657,6.191430019125433,13,14.192253945045385
1,11.11711076089411,1.2080272084711243,24.300446438584846,8,59.1049234233497
1,12.497541333697656,1.1580600944007258,9.510437682534214,15,22.675714255961044
1,9.959828624191452,1.845227288910538,8.241027730799605,9,27.24655008800606
1,11.567533266935893,1.1123738038749522,20.450530557342912,9,45.76612669992101
1,8.156364067411939,2.22340148070637,2.3238359224469427,7,8.742378477500344
1,15.1134195274865,1.3160702162124822,16.974771586544723,18,45.02718675145244
1,16.631034258755935,2.4232981268275577,9.15259339946023,12,43.987606927724855
1,14.659223566174965,1.2365191150830908,10.807318119337166,17,23.35833611795673
1,16.48913824266084,1.2886918084659493,2.9299725593839208,11,5.86387055192829
1,12.275410183585496,1.010167650697638,13.697125896788164,7,29.757770211615398
1,9.393314544058757,2.404417379277817,23.685632122833564,7,114.28096500057424
1,10.89751452913768,1.0644885149016017,20.484457768679633,19,44.26844227681209
1,16.92558998489978,2.3393422419156504,7.242508738464659,11,33.23008896547167
1,16.607305832563434,1.8069521305311906,7.108479640826796,1,26.380400751436675
2,17.429097039125192,2.1232029320207553,10.363480854723761,24,44.35670149904458
2,10.517822958253642,1.1988994023569541,2.8483997891542545,9,4.844717250975039
2,13.026790232288615,1.0205915004999957,7.509923485340366,17,14.811070867609581
2,13.309345833171363,1.1791132658292367,3.8596265056524506,25,11.565430381354112
2,15.282163486118595,1.1471132530877013,14.322817733719445,22,35.644439594802066
2,16.35302495589238,1.1283120259886943,2.3815200653406916,23,7.121374290985326
2,16.095010461397152,1.1394663949166917,21.267332435868543,17,43.5274235102527
2,11.410663510502586,1.0453894084962356,20.796110604627962,19,41.01833889512073
2,17.962536997579242,2.7654193512887932,6.340263491851726,20,35.37181642979176
2,15.003578299727714,1.3386644568953223,22.418712271502077,13,62.15285151213755
2,17.356349942209476,2.5853406511139436,10.56250363092009,19,58.192527743763605
2,14.635017691080558,1.0020246335384875,17.913589546931945,15,33.466006217528246
2,17.944574626108206,1.9759252526773454,6.1129223120905625,14,23.390708515697245
2,16.49223410494178,1.2630451569201373,10.45746347036697,10,26.708220884689126
2,10.439896433790835,1.3892042219009781,16.516188397937047,19,45.409528287864575
2,11.500784076946758,1.2580413448122258,7.294261169555771,19,19.141644165248742
2,13.720041992091831,1.3074216057225234,22.320362512123957,6,57.87797947100581
3,17.283185625877252,2.228184148317314,10.85724775784428,12,49.93799428657187
3,10.684748568901568,1.1941119497105261,21.416902236705162,8,47.9049685313765
3,13.70061170089365,1.0388705975083075,22.179580654342974,15,43.79748781806072
3,16.486697949246746,1.0546485325768116,8.819733303899365,17,22.161286261124523
3,16.10113394679181,1.3468289274320413,13.534874777805591,15,38.20214973746257
3,14.499639307777652,1.2807867509030813,9.773888607585324,16,25.388895910900338
3,13.788648955075587,1.1753896492072347,5.565957184738116,8,15.487097814179027
3,13.908332605690108,1.0122000999756198,14.011594981260501,10,27.695441186910077
3,12.572651616137286,1.3368092300047925,18.08878084764546,13,45.78006616706036
3,15.260913337226615,1.3903408317850139,20.289282479680185,4,56.79094438777817
3,12.389714207056361,1.0313825525369065,11.405917721528207,17,25.259239455651638
3,12.423522297311045,1.0959149436629612,13.884013920811034,15,31.587190937880457
3,14.117207462343522,1.1678400249711158,19.43046054068049,11,42.8234995795309
3,9.160726405069163,1.8460026420217528,4.250185694973034,13,19.43571940495117
3,12.734717707805657,1.069280747964006,16.16455225520098,5,31.96850336870225
3,16.866803872980476,2.060893623341714,17.731166696157246,30,73.25242379905471
3,8.705687474004298,2.4424192782063154,23.625295552774023,15,114.63512742911088
3,14.771683423829817,1.2293468166687733,20.874707942110973,16,50.78258699071349
3,11.861026378007743,1.3844762255295655,9.33643949675651,12,26.267353551280657
3,14.816136689727898,1.136249827785696,17.936478249914607,14,37.32779175320677
3,16.774720135270528,2.5350710438038857,6.0811095069336245,11,32.585598550360565
3,13.685202837499583,1.2303698301032338,7.750378331970407,11,19.837262277386
3,11.408035402530178,1.3723029302414258,19.27003455920444,13,55.08620348687397
4,9.031238688359327,2.7025529066795664,9.36114082370407,21,50.63996436914188
4,11.892016787341632,1.0043350605921193,23.86396437956379,16,47.67454611349938
4,12.93025657771805,1.0333137644781039,14.735170203953418,16,28.842635017194397
4,15.5237452943768,1.3166316174903394,14.639164293445917,11,38.53113903228143
4,15.370355567910089,1.2183663080659954,21.937980222149353,19,54.44912040582162
4,8.841068061149974,2.50096913145912,3.951267423959414,12,20.228095589640255
4,13.813054172267822,1.3452554087956015,22.876955246016564,13,62.467578156081345
4,11.502182467003134,1.2832724782332798,18.21694037882318,3,46.051522854279746
4,17.06354385094736,1.9111974823061513,12.779194765864904,13,48.838004066861316
4,9.188179162680719,1.9175262467771048,15.417481597234671,21,60.668577446729046
4,16.6859912818946,2.023595838519453,24.838190310743908,15,102.49192571106806
4,10.529901679892411,1.278164449242659,24.904121625675526,11,61.728903693905565
4,17.01158010490989,1.8454463803414578,16.263049749435346,14,61.977790839779225
4,9.696799038955655,2.4468483616687235,8.116572274177496,8,38.603202404008464
4,17.743948076661667,2.786210744479603,9.119135174585537,16,54.568006486015975
4,14.027818820232985,1.108383057006052,15.366740287159004,14,35.36225563390581
4,12.182430362906189,1.3730913933416051,20.642726607982155,14,56.124258103073664
4,17.85286050665504,2.176738969937941,21.070777076249833,11,94.6035301136516
4,8.635118295900014,1.8368218676359913,14.289964325677651,16,51.52748653834722
4,17.966368370739055,2.3554317056026273,12.36251511213215,12,59.483819976910375
4,17.540510272587223,2.40617463445088,16.216949530531604,18,75.79234103339476
4,10.686724820253072,1.0088738968121207,21.12154427143753,1,42.08142322773079
4,16.163857352130623,1.3871895061759292,11.672322909296726,12,37.461963287368405
5,14.393613569742424,1.3220178670077447,24.550642677124692,16,66.51808104257825
5,14.366443216222827,1.2219262434168903,14.591265058679566,16,34.751306069760595
5,15.83653012741143,1.158617112928508,23.83897434412577,19,55.90188837366341
